"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-01-11T08:00:00.000Z","50.00","52.22","46.30","46.76","","-0.3583","5,965,572"
"2024-01-12T08:00:00.000Z","46.59","46.62","43.50","43.86","-6.20","-6.56","3,407,813"
"2024-01-16T08:00:00.000Z","43.30","43.67","42.31","43.51","-0.7980","-1.16","2,859,205"
"2024-01-17T08:00:00.000Z","42.65","43.06","42.30","42.86","-1.49","-1.85","1,247,787"
"2024-01-18T08:00:00.000Z","42.80","42.92","40.71","40.95","-4.46","-4.81","2,869,760"
"2024-01-19T08:00:00.000Z","41.21","42.27","40.38","41.73","1.90","1.55","2,086,865"
"2024-01-22T08:00:00.000Z","40.79","40.92","39.46","40.20","-3.65","-4.01","3,216,940"
"2024-01-23T08:00:00.000Z","38.91","39.66","38.62","39.22","-2.45","-2.81","2,796,256"
"2024-01-24T08:00:00.000Z","40.05","40.26","39.54","39.60","0.9689","0.6106","2,359,501"
"2024-01-25T08:00:00.000Z","40.07","40.13","39.57","39.87","0.6818","0.3235","1,240,449"
"2024-01-26T08:00:00.000Z","41.24","42.26","41.14","42.02","5.39","5.03","2,405,882"
"2024-01-29T08:00:00.000Z","42.03","43.36","41.80","43.21","2.83","2.47","2,509,641"
"2024-01-30T08:00:00.000Z","43.44","43.78","43.25","43.61","0.9257","0.5674","1,978,984"
"2024-01-31T08:00:00.000Z","42.75","43.79","42.52","42.55","-2.43","-2.79","1,616,662"
"2024-02-01T08:00:00.000Z","42.41","43.30","42.38","43.06","1.20","0.8403","1,756,900"
"2024-02-02T08:00:00.000Z","42.74","43.50","42.71","42.95","-0.2555","-0.6138","2,136,371"
"2024-02-05T08:00:00.000Z","43.37","43.42","42.30","42.38","-1.33","-1.69","1,179,061"
"2024-02-06T08:00:00.000Z","42.89","43.41","42.85","43.12","1.75","1.39","1,403,470"
"2024-02-07T08:00:00.000Z","43.17","44.31","42.91","44.17","2.44","2.08","1,966,946"
"2024-02-08T08:00:00.000Z","45.13","45.69","44.92","45.60","3.24","2.88","2,142,698"
"2024-02-09T08:00:00.000Z","47.06","48.27","46.83","47.60","4.39","4.03","2,406,526"
"2024-02-12T08:00:00.000Z","48.26","50.50","48.21","50.31","5.69","5.33","2,122,749"
"2024-02-13T08:00:00.000Z","49.07","49.59","48.42","49.47","-1.67","-2.03","3,136,463"
"2024-02-14T08:00:00.000Z","51.77","52.20","51.33","51.82","4.75","4.39","3,870,290"
"2024-02-15T08:00:00.000Z","52.58","52.96","51.69","51.84","0.0386","-0.3197","3,348,830"
"2024-02-16T08:00:00.000Z","52.35","52.56","51.71","51.97","0.2508","-0.1075","1,881,124"
"2024-02-20T08:00:00.000Z","52.44","52.44","50.82","52.08","0.2117","-0.1466","2,725,834"
"2024-02-21T08:00:00.000Z","51.00","51.48","50.69","51.02","-2.04","-2.39","3,793,476"
"2024-02-22T08:00:00.000Z","51.15","52.15","51.06","52.11","2.14","1.78","1,237,432"
"2024-02-23T08:00:00.000Z","51.27","51.37","50.66","51.14","-1.86","-2.22","1,344,416"
"2024-02-26T08:00:00.000Z","51.46","55.04","51.43","54.53","6.63","6.27","5,170,588"
"2024-02-27T08:00:00.000Z","56.98","57.75","56.33","57.14","4.79","4.43","3,580,735"
"2024-02-28T08:00:00.000Z","60.34","64.41","59.14","60.50","5.88","5.52","7,240,903"
"2024-02-29T08:00:00.000Z","63.46","63.74","60.44","62.28","2.94","2.58","3,152,852"
"2024-03-01T08:00:00.000Z","62.51","63.41","61.25","63.18","1.45","1.09","1,889,869"
"2024-03-04T08:00:00.000Z","65.49","68.10","65.45","67.79","7.30","6.94","4,135,799"
"2024-03-05T08:00:00.000Z","67.82","69.52","59.60","62.04","-8.48","-8.84","8,451,044"
"2024-03-06T08:00:00.000Z","66.95","67.69","65.40","67.10","8.16","7.80","2,826,147"
"2024-03-07T08:00:00.000Z","67.48","68.23","66.78","67.78","1.01","0.6551","3,518,196"
"2024-03-08T08:00:00.000Z","68.25","70.48","66.25","69.39","2.38","2.02","3,947,942"
"2024-03-11T07:00:00.000Z","72.45","73.01","71.46","72.20","4.05","3.69","4,876,986"
"2024-03-12T07:00:00.000Z","72.38","73.28","68.73","71.40","-1.11","-1.47","7,414,861"
"2024-03-13T07:00:00.000Z","72.79","73.62","71.76","73.61","3.10","2.74","3,717,782"
"2024-03-14T07:00:00.000Z","72.72","72.81","68.41","69.42","-5.69","-6.05","5,844,510"
"2024-03-15T07:00:00.000Z","67.85","70.73","67.44","69.15","-0.3889","-0.7472","3,184,975"
"2024-03-18T07:00:00.000Z","67.97","68.58","66.57","66.86","-3.31","-3.67","3,176,379"
"2024-03-19T07:00:00.000Z","63.74","65.81","62.25","64.41","-3.66","-4.02","4,922,050"
"2024-03-20T07:00:00.000Z","63.44","66.11","62.08","65.92","2.34","1.99","5,493,209"
"2024-03-21T07:00:00.000Z","67.70","67.72","64.91","65.22","-1.06","-1.42","3,418,332"
"2024-03-22T07:00:00.000Z","64.18","64.34","62.65","64.00","-1.87","-2.23","2,923,718"
"2024-03-25T07:00:00.000Z","67.03","71.24","67.01","71.13","11.14","10.78","4,170,317"
"2024-03-26T07:00:00.000Z","70.89","71.04","69.37","69.53","-2.25","-2.61","2,496,440"
"2024-03-27T07:00:00.000Z","71.70","71.84","68.44","68.70","-1.19","-1.55","2,843,605"
"2024-03-28T07:00:00.000Z","71.17","71.79","70.53","70.98","3.32","2.96","3,172,766"
"2024-04-01T07:00:00.000Z","70.15","70.20","68.11","69.78","-1.69","-2.05","1,950,921"
"2024-04-02T07:00:00.000Z","64.93","66.34","64.55","65.97","-5.46","-5.82","1,960,725"
"2024-04-03T07:00:00.000Z","65.76","66.99","65.57","65.87","-0.1516","-0.5099","1,196,828"
"2024-04-04T07:00:00.000Z","67.38","69.43","67.17","68.54","4.05","3.70","1,826,300"
"2024-04-05T07:00:00.000Z","66.97","68.66","66.87","67.43","-1.62","-1.98","1,805,273"
"2024-04-08T07:00:00.000Z","72.24","72.26","71.25","71.79","6.47","6.11","2,073,169"
"2024-04-09T07:00:00.000Z","70.74","71.02","68.23","68.98","-3.91","-4.27","2,473,431"
"2024-04-10T07:00:00.000Z","67.65","70.15","67.45","70.15","1.70","1.34","2,032,572"
"2024-04-11T07:00:00.000Z","70.80","70.92","69.55","70.51","0.5132","0.1549","1,925,636"
"2024-04-12T07:00:00.000Z","70.14","70.30","65.19","66.89","-5.13","-5.49","3,573,300"
"2024-04-15T07:00:00.000Z","66.30","66.55","62.33","63.31","-5.35","-5.71","2,741,384"
"2024-04-16T07:00:00.000Z","63.24","63.37","61.70","62.72","-0.9319","-1.29","1,551,105"
"2024-04-17T07:00:00.000Z","62.41","62.99","59.62","61.05","-2.66","-3.02","2,829,565"
"2024-04-18T07:00:00.000Z","62.41","64.20","61.91","63.56","4.11","3.75","2,338,875"
"2024-04-19T07:00:00.000Z","64.75","65.15","63.59","64.42","1.35","0.9948","1,797,869"
"2024-04-22T07:00:00.000Z","66.16","66.87","65.71","66.60","3.38","3.03","1,586,999"
"2024-04-23T07:00:00.000Z","66.13","67.19","66.13","66.55","-0.0751","-0.4334","927,163"
"2024-04-24T07:00:00.000Z","66.01","66.33","63.68","63.91","-3.97","-4.33","2,689,451"
"2024-04-25T07:00:00.000Z","63.17","64.93","62.85","64.76","1.33","0.9717","1,231,220"
"2024-04-26T07:00:00.000Z","63.76","64.77","63.28","63.72","-1.61","-1.96","868,622"
"2024-04-29T07:00:00.000Z","62.51","63.19","61.69","62.97","-1.18","-1.54","1,249,656"
"2024-04-30T07:00:00.000Z","61.12","61.46","58.91","59.08","-6.18","-6.54","2,393,989"
"2024-05-01T07:00:00.000Z","57.63","59.41","56.53","56.87","-3.74","-4.10","2,464,372"
"2024-05-02T07:00:00.000Z","58.75","59.60","58.21","59.38","4.41","4.06","1,717,989"
"2024-05-03T07:00:00.000Z","61.30","62.28","61.20","62.14","4.65","4.29","1,396,744"
"2024-05-06T07:00:00.000Z","63.62","64.24","62.74","63.24","1.77","1.41","1,053,647"
"2024-05-07T07:00:00.000Z","63.50","64.35","62.77","63.05","-0.3004","-0.6587","1,022,634"
"2024-05-08T07:00:00.000Z","62.01","62.80","61.75","62.14","-1.44","-1.80","615,837"
"2024-05-09T07:00:00.000Z","61.32","62.73","60.85","62.50","0.5793","0.2210","1,111,860"
"2024-05-10T07:00:00.000Z","62.89","63.15","60.14","60.64","-2.98","-3.33","1,855,481"
"2024-05-13T07:00:00.000Z","62.79","63.48","62.57","63.19","4.21","3.85","1,188,698"
"2024-05-14T07:00:00.000Z","61.97","62.25","61.10","61.57","-2.56","-2.92","718,016"
"2024-05-15T07:00:00.000Z","64.31","66.46","63.96","66.06","7.29","6.93","2,302,657"
"2024-05-16T07:00:00.000Z","66.00","66.46","64.59","65.22","-1.27","-1.63","1,079,764"
"2024-05-17T07:00:00.000Z","66.38","67.55","65.85","67.14","2.94","2.59","1,090,942"
"2024-05-20T07:00:00.000Z","67.04","70.21","66.77","70.20","4.56","4.20","1,838,974"
"2024-05-21T07:00:00.000Z","70.98","71.32","69.15","69.31","-1.27","-1.63","1,410,201"
"2024-05-22T07:00:00.000Z","69.75","70.72","69.19","69.65","0.4905","0.1323","934,055"
"2024-05-23T07:00:00.000Z","69.25","69.41","66.68","67.13","-3.62","-3.98","1,553,347"
"2024-05-24T07:00:00.000Z","67.37","69.39","66.90","69.24","3.14","2.78","1,270,508"
"2024-05-28T07:00:00.000Z","68.38","68.56","67.18","68.39","-1.23","-1.59","1,291,807"
"2024-05-29T07:00:00.000Z","67.81","67.95","67.09","67.22","-1.71","-2.07","925,376"
"2024-05-30T07:00:00.000Z","68.14","69.59","68.02","68.75","2.28","1.92","1,313,329"
"2024-05-31T07:00:00.000Z","68.66","68.75","66.53","67.55","-1.75","-2.10","1,763,854"
"2024-06-03T07:00:00.000Z","69.68","70.35","68.54","69.26","2.53","2.17","1,575,713"
"2024-06-04T07:00:00.000Z","69.46","71.10","69.23","70.49","1.78","1.42","1,786,598"
"2024-06-05T07:00:00.000Z","71.15","71.85","70.34","71.32","1.18","0.8192","1,200,447"
"2024-06-06T07:00:00.000Z","71.16","71.67","70.37","70.47","-1.19","-1.55","1,118,508"
"2024-06-07T07:00:00.000Z","71.33","71.66","68.25","69.17","-1.84","-2.20","2,304,609"
"2024-06-10T07:00:00.000Z","69.26","70.11","69.11","69.46","0.4193","0.0610","742,176"
"2024-06-11T07:00:00.000Z","67.18","67.55","65.95","67.34","-3.05","-3.41","1,790,779"
"2024-06-12T07:00:00.000Z","69.23","70.05","67.19","67.50","0.2376","-0.1207","2,272,684"
"2024-06-13T07:00:00.000Z","68.00","68.25","66.11","66.51","-1.47","-1.82","1,855,743"
"2024-06-14T07:00:00.000Z","67.23","67.30","64.97","65.42","-1.64","-2.00","2,008,583"
"2024-06-17T07:00:00.000Z","65.62","67.23","64.97","66.67","1.91","1.55","1,125,591"
"2024-06-18T07:00:00.000Z","64.87","65.33","63.94","64.34","-3.49","-3.85","1,308,953"
"2024-06-20T07:00:00.000Z","65.28","65.45","64.46","65.01","1.04","0.6830","1,284,228"
"2024-06-21T07:00:00.000Z","63.57","64.33","63.32","64.21","-1.23","-1.59","820,807"
"2024-06-24T07:00:00.000Z","61.20","61.60","58.91","59.24","-7.74","-8.10","3,489,437"
"2024-06-25T07:00:00.000Z","61.13","62.34","60.91","61.91","4.51","4.15","3,493,957"
"2024-06-26T07:00:00.000Z","61.49","61.91","60.62","60.91","-1.62","-1.97","1,082,886"
"2024-06-27T07:00:00.000Z","61.52","62.34","61.28","61.37","0.7552","0.3969","953,952"
"2024-06-28T07:00:00.000Z","61.38","61.77","59.81","59.98","-2.26","-2.62","997,792"
"2024-07-01T07:00:00.000Z","62.81","63.84","62.42","63.17","5.32","4.96","2,079,911"
"2024-07-02T07:00:00.000Z","62.79","63.07","61.67","61.82","-2.14","-2.50","1,164,025"
"2024-07-03T07:00:00.000Z","60.25","60.68","59.84","60.41","-2.28","-2.64","928,334"
"2024-07-05T07:00:00.000Z","55.55","57.03","55.35","56.56","-6.37","-6.73","3,081,208"
"2024-07-08T07:00:00.000Z","57.13","57.35","54.95","56.44","-0.2122","-0.5705","2,435,064"
"2024-07-09T07:00:00.000Z","57.19","58.25","56.92","57.85","2.50","2.14","1,315,733"
"2024-07-10T07:00:00.000Z","57.97","57.99","57.30","57.40","-0.7779","-1.14","1,258,741"
"2024-07-11T07:00:00.000Z","58.74","58.93","57.14","57.37","-0.0523","-0.4106","1,580,716"
"2024-07-12T07:00:00.000Z","57.50","58.56","57.49","57.62","0.4358","0.0775","1,698,792"
"2024-07-15T07:00:00.000Z","62.75","63.94","62.47","63.46","10.14","9.78","2,631,217"
"2024-07-16T07:00:00.000Z","63.89","65.24","63.08","65.23","2.79","2.43","1,615,182"
"2024-07-17T07:00:00.000Z","64.72","65.39","63.81","64.59","-0.9811","-1.34","1,133,836"
"2024-07-18T07:00:00.000Z","64.86","64.94","63.18","63.56","-1.59","-1.95","1,249,947"
"2024-07-19T07:00:00.000Z","64.08","67.48","64.03","67.30","5.88","5.53","3,042,250"
"2024-07-22T07:00:00.000Z","67.61","68.31","66.55","68.31","1.50","1.14","1,452,305"
"2024-07-23T07:00:00.000Z","66.54","67.33","65.38","65.51","-4.10","-4.46","1,378,814"
"2024-07-24T07:00:00.000Z","66.61","67.10","65.51","65.62","0.1679","-0.1904","1,277,261"
"2024-07-25T07:00:00.000Z","64.25","65.10","63.32","64.62","-1.52","-1.88","1,455,493"
"2024-07-26T07:00:00.000Z","67.37","68.16","66.86","68.04","5.29","4.93","1,412,784"
"2024-07-29T07:00:00.000Z","69.63","69.69","66.36","67.27","-1.13","-1.49","2,655,709"
"2024-07-30T07:00:00.000Z","66.58","66.86","65.43","65.84","-2.13","-2.48","1,376,730"
"2024-07-31T07:00:00.000Z","66.36","66.75","64.83","65.17","-1.02","-1.38","1,253,084"
"2024-08-01T07:00:00.000Z","64.48","64.80","62.13","63.20","-3.02","-3.38","3,475,989"
"2024-08-02T07:00:00.000Z","64.73","65.45","62.28","62.48","-1.14","-1.50","2,059,168"
"2024-08-05T07:00:00.000Z","49.77","55.51","49.53","53.44","-14.47","-14.83","5,708,094"
"2024-08-06T07:00:00.000Z","55.10","57.01","54.40","56.71","6.12","5.76","2,277,788"
"2024-08-07T07:00:00.000Z","57.18","57.44","54.57","54.68","-3.58","-3.94","2,378,986"
"2024-08-08T07:00:00.000Z","57.75","59.85","56.65","59.38","8.60","8.24","2,023,712"
"2024-08-09T07:00:00.000Z","60.30","61.06","59.48","60.72","2.26","1.90","1,044,622"
"2024-08-12T07:00:00.000Z","59.51","60.59","57.78","58.98","-2.87","-3.22","1,446,746"
"2024-08-13T07:00:00.000Z","58.90","61.52","58.83","60.82","3.12","2.76","887,224"
"2024-08-14T07:00:00.000Z","60.75","60.90","58.59","58.86","-3.22","-3.58","1,682,819"
"2024-08-15T07:00:00.000Z","59.12","59.80","56.64","57.02","-3.13","-3.48","1,844,102"
"2024-08-16T07:00:00.000Z","58.56","59.83","57.63","59.70","4.70","4.34","1,288,610"
"2024-08-19T07:00:00.000Z","58.69","59.27","58.04","58.93","-1.29","-1.65","683,927"
"2024-08-20T07:00:00.000Z","60.50","60.95","58.47","59.50","0.9672","0.6090","1,209,717"
"2024-08-21T07:00:00.000Z","59.37","61.65","58.81","61.65","3.61","3.26","1,251,690"
"2024-08-22T07:00:00.000Z","60.78","60.89","60.04","60.24","-2.29","-2.65","813,265"
"2024-08-23T07:00:00.000Z","61.03","63.85","60.76","63.66","5.68","5.32","2,868,027"
"2024-08-26T07:00:00.000Z","63.81","63.86","63.01","63.29","-0.5812","-0.9395","1,068,161"
"2024-08-27T07:00:00.000Z","62.36","62.44","61.38","62.08","-1.91","-2.27","795,879"
"2024-08-28T07:00:00.000Z","59.83","59.96","57.80","58.83","-5.24","-5.59","1,766,239"
"2024-08-29T07:00:00.000Z","60.17","61.10","58.85","59.22","0.6629","0.3046","2,347,913"
"2024-08-30T07:00:00.000Z","59.51","59.78","57.66","58.63","-0.9963","-1.35","1,873,565"
"2024-09-03T07:00:00.000Z","59.02","59.06","57.45","57.95","-1.16","-1.52","826,354"
"2024-09-04T07:00:00.000Z","56.41","58.47","56.06","58.00","0.0863","-0.2720","1,695,271"
"2024-09-05T07:00:00.000Z","56.58","57.20","55.69","55.99","-3.47","-3.82","1,192,370"
"2024-09-06T07:00:00.000Z","56.67","56.83","53.18","53.45","-4.54","-4.89","1,953,396"
"2024-09-09T07:00:00.000Z","55.38","57.17","54.76","57.11","6.85","6.49","1,873,948"
"2024-09-10T07:00:00.000Z","56.84","58.00","56.45","57.95","1.47","1.11","523,707"
"2024-09-11T07:00:00.000Z","56.80","57.96","55.48","57.58","-0.6385","-0.9968","1,554,888"
"2024-09-12T07:00:00.000Z","57.69","58.53","57.26","58.40","1.42","1.07","718,820"
"2024-09-13T07:00:00.000Z","57.70","60.02","57.65","59.73","2.28","1.92","1,746,811"
"2024-09-16T07:00:00.000Z","58.45","58.51","57.39","57.90","-3.06","-3.42","771,577"
"2024-09-17T07:00:00.000Z","59.23","61.32","58.84","59.90","3.45","3.10","2,125,923"
"2024-09-18T07:00:00.000Z","59.86","61.28","59.10","60.01","0.1836","-0.1747","964,254"
"2024-09-19T07:00:00.000Z","63.23","63.85","62.63","63.21","5.33","4.97","709,312"
"2024-09-20T07:00:00.000Z","62.88","63.45","62.34","62.77","-0.6961","-1.05","694,551"
"2024-09-23T07:00:00.000Z","63.22","63.73","62.98","63.25","0.7647","0.4064","773,475"
"2024-09-24T07:00:00.000Z","63.36","64.33","62.63","64.27","1.61","1.25","622,340"
"2024-09-25T07:00:00.000Z","63.43","63.92","62.89","63.14","-1.76","-2.12","369,816"
"2024-09-26T07:00:00.000Z","64.30","65.84","64.08","64.69","2.45","2.10","1,909,669"
"2024-09-27T07:00:00.000Z","65.63","66.54","65.37","65.66","1.50","1.14","1,956,961"
"2024-09-30T07:00:00.000Z","63.89","64.02","62.92","63.47","-3.34","-3.69","995,252"
"2024-10-01T07:00:00.000Z","63.27","63.36","60.90","61.69","-2.80","-3.16","1,780,748"
"2024-10-02T07:00:00.000Z","60.79","62.29","59.91","60.13","-2.53","-2.89","1,345,084"
"2024-10-03T07:00:00.000Z","60.39","60.98","59.83","60.97","1.40","1.04","875,300"
