"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-01-11T08:00:00.000Z","26.80","28.50","25.41","25.54","","-0.3576","4,788,820"
"2024-01-12T08:00:00.000Z","25.53","25.53","23.82","23.96","-6.19","-6.54","3,270,022"
"2024-01-16T08:00:00.000Z","23.77","23.87","23.02","23.72","-1.00","-1.36","2,224,527"
"2024-01-17T08:00:00.000Z","23.52","23.58","23.08","23.40","-1.35","-1.71","1,955,971"
"2024-01-18T08:00:00.000Z","23.40","23.40","22.23","22.34","-4.53","-4.89","2,856,857"
"2024-01-19T08:00:00.000Z","22.53","23.05","22.01","22.73","1.75","1.39","4,606,173"
"2024-01-22T08:00:00.000Z","22.27","22.33","21.52","21.97","-3.34","-3.70","2,279,985"
"2024-01-23T08:00:00.000Z","21.25","21.64","21.05","21.39","-2.64","-3.00","2,329,246"
"2024-01-24T08:00:00.000Z","21.85","21.95","21.57","21.60","0.9818","0.6242","1,670,995"
"2024-01-25T08:00:00.000Z","21.86","21.89","21.57","21.73","0.6019","0.2442","1,260,076"
"2024-01-26T08:00:00.000Z","22.47","23.04","22.42","22.91","5.43","5.07","2,831,908"
"2024-01-29T08:00:00.000Z","22.90","23.65","22.79","23.57","2.88","2.52","2,239,740"
"2024-01-30T08:00:00.000Z","23.73","23.87","23.59","23.78","0.8910","0.5333","1,684,526"
"2024-01-31T08:00:00.000Z","23.32","23.86","23.17","23.22","-2.35","-2.71","1,264,446"
"2024-02-01T08:00:00.000Z","23.03","23.60","23.03","23.45","0.9905","0.6329","1,315,226"
"2024-02-02T08:00:00.000Z","23.30","23.71","23.28","23.41","-0.1706","-0.5282","1,732,241"
"2024-02-05T08:00:00.000Z","23.62","23.68","23.06","23.12","-1.24","-1.60","1,001,230"
"2024-02-06T08:00:00.000Z","23.37","23.67","23.37","23.52","1.73","1.37","880,945"
"2024-02-07T08:00:00.000Z","23.53","24.16","23.40","24.10","2.47","2.11","1,912,715"
"2024-02-08T08:00:00.000Z","24.61","24.89","24.49","24.85","3.11","2.75","1,988,302"
"2024-02-09T08:00:00.000Z","25.66","26.30","25.54","25.95","4.43","4.07","2,058,953"
"2024-02-12T08:00:00.000Z","26.27","27.51","26.27","27.40","5.59","5.23","3,209,887"
"2024-02-13T08:00:00.000Z","26.73","27.02","26.40","26.99","-1.50","-1.85","3,684,865"
"2024-02-14T08:00:00.000Z","28.23","28.46","27.99","28.26","4.71","4.35","3,330,752"
"2024-02-15T08:00:00.000Z","28.66","28.87","28.17","28.23","-0.1062","-0.4638","4,990,726"
"2024-02-16T08:00:00.000Z","28.58","28.64","28.18","28.34","0.3897","0.0320","1,714,740"
"2024-02-20T08:00:00.000Z","28.56","28.59","27.69","28.37","0.1059","-0.2518","6,324,310"
"2024-02-21T08:00:00.000Z","27.78","28.06","27.64","27.82","-1.94","-2.30","1,196,165"
"2024-02-22T08:00:00.000Z","27.89","28.43","27.84","28.42","2.16","1.80","1,096,290"
"2024-02-23T08:00:00.000Z","27.96","28.00","27.63","27.90","-1.83","-2.19","1,534,678"
"2024-02-26T08:00:00.000Z","28.05","30.01","28.05","29.77","6.70","6.34","2,829,760"
"2024-02-27T08:00:00.000Z","31.07","31.47","30.73","31.15","4.64","4.28","2,914,491"
"2024-02-28T08:00:00.000Z","32.83","35.11","32.25","32.97","5.84","5.49","7,881,354"
"2024-02-29T08:00:00.000Z","34.59","34.77","32.97","33.83","2.61","2.25","4,537,609"
"2024-03-01T08:00:00.000Z","34.10","34.58","33.41","34.43","1.77","1.42","3,244,610"
"2024-03-04T08:00:00.000Z","35.73","37.15","35.72","36.95","7.32","6.96","5,043,525"
"2024-03-05T08:00:00.000Z","36.97","37.90","32.53","33.81","-8.50","-8.86","9,046,633"
"2024-03-06T08:00:00.000Z","36.51","36.91","35.67","36.60","8.25","7.89","3,429,965"
"2024-03-07T08:00:00.000Z","36.79","37.21","36.41","36.96","0.9836","0.6260","4,048,224"
"2024-03-08T08:00:00.000Z","37.20","38.43","36.10","37.85","2.41","2.05","8,237,935"
"2024-03-11T07:00:00.000Z","39.50","39.83","38.94","39.36","3.99","3.63","5,633,823"
"2024-03-12T07:00:00.000Z","39.46","39.95","37.50","38.99","-0.9400","-1.30","5,712,166"
"2024-03-13T07:00:00.000Z","39.74","40.16","39.16","40.16","3.00","2.64","2,932,783"
"2024-03-14T07:00:00.000Z","39.60","39.68","37.33","37.83","-5.80","-6.16","4,377,596"
"2024-03-15T07:00:00.000Z","37.01","38.57","36.79","37.71","-0.3172","-0.6748","4,133,482"
"2024-03-18T07:00:00.000Z","37.08","37.41","36.30","36.50","-3.21","-3.57","2,714,524"
"2024-03-19T07:00:00.000Z","34.76","35.90","33.96","35.14","-3.73","-4.08","4,167,150"
"2024-03-20T07:00:00.000Z","34.57","36.04","33.87","35.94","2.28","1.92","3,981,836"
"2024-03-21T07:00:00.000Z","36.90","36.92","35.39","35.55","-1.09","-1.44","2,585,870"
"2024-03-22T07:00:00.000Z","35.02","35.11","34.17","34.84","-2.00","-2.35","2,784,112"
"2024-03-25T07:00:00.000Z","36.53","38.84","36.53","38.80","11.37","11.01","3,225,095"
"2024-03-26T07:00:00.000Z","38.66","38.74","37.80","37.91","-2.29","-2.65","2,234,821"
"2024-03-27T07:00:00.000Z","39.09","39.16","37.33","37.46","-1.19","-1.54","1,917,288"
"2024-03-28T07:00:00.000Z","38.80","39.15","38.47","38.71","3.34","2.98","3,198,620"
"2024-04-01T07:00:00.000Z","38.21","38.28","37.15","38.07","-1.65","-2.01","1,897,678"
"2024-04-02T07:00:00.000Z","35.36","36.17","35.20","35.97","-5.52","-5.87","1,990,975"
"2024-04-03T07:00:00.000Z","35.86","36.52","35.75","35.92","-0.1390","-0.4966","2,289,313"
"2024-04-04T07:00:00.000Z","36.70","37.87","36.64","37.38","4.06","3.71","2,677,987"
"2024-04-05T07:00:00.000Z","36.49","37.41","36.49","36.73","-1.74","-2.10","2,755,310"
"2024-04-08T07:00:00.000Z","39.35","39.40","38.86","39.18","6.67","6.31","2,465,692"
"2024-04-09T07:00:00.000Z","38.51","38.71","37.21","37.64","-3.93","-4.29","2,097,659"
"2024-04-10T07:00:00.000Z","36.88","38.25","36.80","38.25","1.62","1.26","1,853,834"
"2024-04-11T07:00:00.000Z","38.60","38.67","37.93","38.43","0.4706","0.1130","1,959,582"
"2024-04-12T07:00:00.000Z","38.29","38.34","35.55","36.47","-5.10","-5.46","3,374,567"
"2024-04-15T07:00:00.000Z","36.15","36.29","33.99","34.51","-5.37","-5.73","2,166,853"
"2024-04-16T07:00:00.000Z","34.49","34.56","33.65","34.22","-0.8403","-1.20","2,349,454"
"2024-04-17T07:00:00.000Z","34.03","34.36","32.52","33.26","-2.81","-3.16","2,656,561"
"2024-04-18T07:00:00.000Z","34.09","35.01","33.76","34.68","4.27","3.91","2,050,601"
"2024-04-19T07:00:00.000Z","35.31","35.53","34.66","35.11","1.24","0.8823","2,065,120"
"2024-04-22T07:00:00.000Z","36.06","36.49","35.81","36.33","3.47","3.12","1,568,451"
"2024-04-23T07:00:00.000Z","36.08","36.64","36.05","36.26","-0.1927","-0.5503","1,675,133"
"2024-04-24T07:00:00.000Z","36.03","36.17","34.73","34.86","-3.86","-4.22","2,906,233"
"2024-04-25T07:00:00.000Z","34.41","35.39","34.26","35.29","1.23","0.8759","2,188,827"
"2024-04-26T07:00:00.000Z","34.79","35.32","34.51","34.75","-1.53","-1.89","1,197,984"
"2024-04-29T07:00:00.000Z","34.08","34.45","33.67","34.34","-1.18","-1.54","1,250,908"
"2024-04-30T07:00:00.000Z","33.36","33.52","32.12","32.19","-6.26","-6.62","3,482,290"
"2024-05-01T07:00:00.000Z","31.44","32.36","30.82","31.02","-3.63","-3.99","3,745,294"
"2024-05-02T07:00:00.000Z","32.00","32.51","31.74","32.36","4.32","3.96","2,708,515"
"2024-05-03T07:00:00.000Z","33.44","33.97","33.39","33.89","4.73","4.37","1,872,448"
"2024-05-06T07:00:00.000Z","34.67","35.04","34.21","34.49","1.77","1.41","1,583,191"
"2024-05-07T07:00:00.000Z","34.67","35.09","34.25","34.36","-0.3769","-0.7345","1,736,036"
"2024-05-08T07:00:00.000Z","33.83","34.26","33.67","33.89","-1.37","-1.73","1,177,333"
"2024-05-09T07:00:00.000Z","33.48","34.20","33.18","34.04","0.4426","0.0850","1,416,600"
"2024-05-10T07:00:00.000Z","34.25","34.43","32.80","33.07","-2.85","-3.21","1,891,966"
"2024-05-13T07:00:00.000Z","34.26","34.62","34.13","34.44","4.14","3.79","1,707,880"
"2024-05-14T07:00:00.000Z","33.81","33.96","33.32","33.57","-2.53","-2.88","1,070,030"
"2024-05-15T07:00:00.000Z","35.10","36.26","34.88","36.06","7.42","7.06","4,324,082"
"2024-05-16T07:00:00.000Z","36.01","36.25","35.24","35.53","-1.47","-1.83","1,307,850"
"2024-05-17T07:00:00.000Z","36.21","36.83","35.91","36.62","3.07","2.71","1,577,113"
"2024-05-20T07:00:00.000Z","36.57","38.29","36.41","38.26","4.48","4.12","1,503,599"
"2024-05-21T07:00:00.000Z","38.70","38.90","37.72","37.75","-1.33","-1.69","1,982,506"
"2024-05-22T07:00:00.000Z","38.03","38.56","37.74","37.96","0.5658","0.2082","1,178,775"
"2024-05-23T07:00:00.000Z","37.83","37.83","36.37","36.63","-3.51","-3.87","1,361,748"
"2024-05-24T07:00:00.000Z","36.75","37.84","36.50","37.72","2.98","2.62","1,514,963"
"2024-05-28T07:00:00.000Z","37.29","37.39","36.64","37.31","-1.09","-1.44","1,846,891"
"2024-05-29T07:00:00.000Z","37.00","37.06","36.59","36.65","-1.77","-2.13","900,757"
"2024-05-30T07:00:00.000Z","37.20","37.95","37.10","37.47","2.24","1.88","1,557,296"
"2024-05-31T07:00:00.000Z","37.44","37.51","36.28","36.85","-1.65","-2.01","2,201,506"
"2024-06-03T07:00:00.000Z","38.02","38.37","37.39","37.76","2.47","2.11","2,221,515"
"2024-06-04T07:00:00.000Z","37.88","38.80","37.76","38.45","1.83","1.47","3,637,947"
"2024-06-05T07:00:00.000Z","38.82","39.19","38.37","38.89","1.14","0.7867","1,440,849"
"2024-06-06T07:00:00.000Z","38.81","39.09","38.39","38.43","-1.18","-1.54","1,070,263"
"2024-06-07T07:00:00.000Z","38.93","39.09","37.20","37.72","-1.85","-2.21","2,597,708"
"2024-06-10T07:00:00.000Z","37.77","38.26","37.71","37.87","0.3977","0.0401","1,825,465"
"2024-06-11T07:00:00.000Z","36.63","36.85","35.98","36.74","-2.98","-3.34","2,175,732"
"2024-06-12T07:00:00.000Z","37.77","38.21","36.65","36.78","0.1089","-0.2487","2,293,374"
"2024-06-13T07:00:00.000Z","37.06","37.23","36.06","36.27","-1.39","-1.74","1,796,438"
"2024-06-14T07:00:00.000Z","36.68","36.70","35.42","35.69","-1.60","-1.96","1,569,097"
"2024-06-17T07:00:00.000Z","35.77","36.67","35.45","36.36","1.88","1.52","1,289,345"
"2024-06-18T07:00:00.000Z","35.35","35.62","34.87","35.09","-3.49","-3.85","1,567,635"
"2024-06-20T07:00:00.000Z","35.62","35.68","35.16","35.47","1.08","0.7253","1,833,218"
"2024-06-21T07:00:00.000Z","34.67","35.08","34.53","35.02","-1.27","-1.63","993,874"
