"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-01-11T08:00:00.000Z","41.99","50.70","40.26","40.88","","-0.3591","16,772,638"
"2024-01-12T08:00:00.000Z","40.74","40.81","37.95","38.35","-6.19","-6.55","11,319,821"
"2024-01-16T08:00:00.000Z","37.90","38.14","36.91","38.10","-0.6519","-1.01","8,455,498"
"2024-01-17T08:00:00.000Z","37.45","37.69","37.03","37.40","-1.84","-2.20","7,910,571"
"2024-01-18T08:00:00.000Z","37.40","37.52","35.60","35.76","-4.39","-4.74","10,250,029"
"2024-01-19T08:00:00.000Z","36.08","36.91","35.28","36.49","2.04","1.68","13,807,112"
"2024-01-22T08:00:00.000Z","35.61","35.77","34.49","35.18","-3.59","-3.95","11,616,466"
"2024-01-23T08:00:00.000Z","33.95","34.69","33.77","34.34","-2.39","-2.75","10,402,627"
"2024-01-24T08:00:00.000Z","35.00","35.20","34.58","34.60","0.7571","0.3980","7,550,271"
"2024-01-25T08:00:00.000Z","35.05","35.10","34.61","34.81","0.6069","0.2478","6,407,898"
"2024-01-26T08:00:00.000Z","36.05","36.97","35.99","36.75","5.57","5.21","9,154,526"
"2024-01-29T08:00:00.000Z","36.78","37.94","36.60","37.82","2.91","2.55","8,446,918"
"2024-01-30T08:00:00.000Z","38.03","38.30","37.85","38.13","0.8197","0.4606","7,569,410"
"2024-01-31T08:00:00.000Z","37.38","38.31","37.19","37.24","-2.33","-2.69","6,021,988"
"2024-02-01T08:00:00.000Z","37.08","37.88","37.06","37.66","1.13","0.7687","4,560,475"
"2024-02-02T08:00:00.000Z","37.39","38.06","37.37","37.58","-0.2124","-0.5715","4,964,505"
"2024-02-05T08:00:00.000Z","37.95","37.98","37.01","37.07","-1.36","-1.72","3,103,981"
"2024-02-06T08:00:00.000Z","37.54","37.98","37.50","37.73","1.78","1.42","3,481,205"
"2024-02-07T08:00:00.000Z","37.77","38.77","37.55","38.66","2.46","2.11","5,299,062"
"2024-02-08T08:00:00.000Z","39.45","39.97","39.28","39.88","3.16","2.80","6,180,567"
"2024-02-09T08:00:00.000Z","41.15","42.25","40.99","41.64","4.41","4.05","9,913,669"
"2024-02-12T08:00:00.000Z","42.21","44.18","42.18","44.02","5.72","5.36","10,944,853"
"2024-02-13T08:00:00.000Z","42.94","43.37","42.34","43.29","-1.66","-2.02","7,489,336"
"2024-02-14T08:00:00.000Z","45.30","45.66","44.88","45.32","4.69","4.33","10,073,518"
"2024-02-15T08:00:00.000Z","45.99","46.30","45.22","45.32","","-0.3591","8,255,739"
"2024-02-16T08:00:00.000Z","45.77","45.97","45.23","45.43","0.2427","-0.1164","5,268,780"
"2024-02-20T08:00:00.000Z","45.81","45.86","44.43","45.52","0.1981","-0.1610","7,610,189"
"2024-02-21T08:00:00.000Z","44.60","45.03","44.35","44.62","-1.98","-2.34","7,039,091"
"2024-02-22T08:00:00.000Z","44.74","45.60","44.67","45.56","2.11","1.75","5,605,761"
"2024-02-23T08:00:00.000Z","44.85","44.94","44.32","44.75","-1.78","-2.14","5,020,797"
"2024-02-26T08:00:00.000Z","45.00","48.15","44.98","47.72","6.64","6.28","12,363,991"
"2024-02-27T08:00:00.000Z","49.86","50.48","49.28","49.93","4.63","4.27","11,609,186"
"2024-02-28T08:00:00.000Z","52.72","56.36","51.72","52.84","5.83","5.47","26,985,402"
"2024-02-29T08:00:00.000Z","55.48","55.76","52.85","54.33","2.82","2.46","18,663,219"
"2024-03-01T08:00:00.000Z","54.68","55.46","53.57","55.19","1.58","1.22","14,588,541"
"2024-03-04T08:00:00.000Z","57.34","59.59","57.30","59.27","7.39","7.03","18,780,414"
"2024-03-05T08:00:00.000Z","59.32","60.83","52.13","54.18","-8.59","-8.95","37,798,718"
"2024-03-06T08:00:00.000Z","58.55","59.20","57.21","58.63","8.21","7.85","19,305,674"
"2024-03-07T08:00:00.000Z","59.02","59.72","58.40","59.25","1.06","0.6984","19,012,561"
"2024-03-08T08:00:00.000Z","59.69","61.64","57.91","60.73","2.50","2.14","27,880,427"
"2024-03-11T07:00:00.000Z","63.38","63.87","62.48","63.09","3.89","3.53","22,463,993"
"2024-03-12T07:00:00.000Z","63.33","64.08","60.12","62.50","-0.9352","-1.29","26,058,056"
"2024-03-13T07:00:00.000Z","63.74","64.42","62.78","64.40","3.04","2.68","16,206,809"
"2024-03-14T07:00:00.000Z","63.59","63.67","59.85","60.63","-5.85","-6.21","19,987,494"
"2024-03-15T07:00:00.000Z","59.34","61.85","59.01","60.48","-0.2474","-0.6065","19,642,365"
"2024-03-18T07:00:00.000Z","59.43","60.00","58.21","58.53","-3.22","-3.58","10,755,906"
"2024-03-19T07:00:00.000Z","55.82","57.58","54.44","56.35","-3.72","-4.08","17,042,196"
"2024-03-20T07:00:00.000Z","55.51","57.81","54.32","57.59","2.20","1.84","17,974,972"
"2024-03-21T07:00:00.000Z","59.19","59.23","56.76","57.05","-0.9377","-1.30","12,228,279"
"2024-03-22T07:00:00.000Z","56.18","56.29","54.80","55.91","-2.00","-2.36","9,214,122"
"2024-03-25T07:00:00.000Z","58.59","62.28","58.58","62.20","11.25","10.89","20,278,155"
"2024-03-26T07:00:00.000Z","62.06","62.14","60.66","60.80","-2.25","-2.61","9,719,629"
"2024-03-27T07:00:00.000Z","62.74","62.83","59.88","60.04","-1.25","-1.61","9,828,890"
"2024-03-28T07:00:00.000Z","62.25","62.81","61.71","62.06","3.36","3.01","10,599,225"
"2024-04-01T07:00:00.000Z","61.34","61.40","59.58","61.03","-1.66","-2.02","9,102,064"
"2024-04-02T07:00:00.000Z","56.81","58.05","56.46","57.66","-5.52","-5.88","11,665,098"
"2024-04-03T07:00:00.000Z","57.57","58.59","57.34","57.59","-0.1214","-0.4805","8,552,108"
"2024-04-04T07:00:00.000Z","58.90","60.74","58.75","59.93","4.06","3.70","9,470,111"
"2024-04-05T07:00:00.000Z","58.58","60.05","58.47","58.94","-1.65","-2.01","7,139,946"
"2024-04-08T07:00:00.000Z","63.17","63.21","62.31","62.83","6.60","6.24","7,764,413"
"2024-04-09T07:00:00.000Z","61.87","62.11","59.68","60.31","-4.01","-4.37","8,089,024"
"2024-04-10T07:00:00.000Z","59.22","61.34","59.02","61.33","1.69","1.33","9,745,700"
"2024-04-11T07:00:00.000Z","61.92","62.06","60.85","61.69","0.5870","0.2279","7,858,878"
"2024-04-12T07:00:00.000Z","61.41","61.52","57.01","58.51","-5.15","-5.51","13,367,314"
