"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-01-11T08:00:00.000Z","27.94","30.00","26.28","26.63","","-0.3593","37,708,304"
"2024-01-12T08:00:00.000Z","26.40","26.41","24.75","24.97","-6.23","-6.59","22,991,870"
"2024-01-16T08:00:00.000Z","24.70","24.86","24.04","24.72","-1.00","-1.36","15,078,207"
"2024-01-17T08:00:00.000Z","24.35","24.56","24.15","24.41","-1.25","-1.61","13,964,502"
"2024-01-18T08:00:00.000Z","24.35","24.47","23.20","23.34","-4.38","-4.74","17,823,191"
"2024-01-19T08:00:00.000Z","23.49","24.12","23.03","23.80","1.97","1.61","18,284,068"
"2024-01-22T08:00:00.000Z","23.20","23.33","22.50","22.95","-3.57","-3.93","17,222,074"
"2024-01-23T08:00:00.000Z","22.19","22.63","22.02","22.32","-2.75","-3.10","13,431,658"
"2024-01-24T08:00:00.000Z","22.82","22.97","22.57","22.60","1.25","0.8952","11,929,147"
"2024-01-25T08:00:00.000Z","22.86","22.90","22.58","22.76","0.7080","0.3487","8,954,870"
"2024-01-26T08:00:00.000Z","23.52","24.12","23.48","23.99","5.40","5.04","20,273,847"
"2024-01-29T08:00:00.000Z","23.99","24.77","23.88","24.67","2.83","2.48","19,012,898"
"2024-01-30T08:00:00.000Z","24.84","24.98","24.68","24.88","0.8512","0.4920","15,541,322"
"2024-01-31T08:00:00.000Z","24.38","25.00","24.26","24.30","-2.33","-2.69","13,369,335"
"2024-02-01T08:00:00.000Z","24.21","24.72","24.19","24.54","0.9877","0.6284","12,411,413"
"2024-02-02T08:00:00.000Z","24.39","24.82","24.38","24.50","-0.1630","-0.5223","10,329,020"
"2024-02-05T08:00:00.000Z","24.75","24.79","24.13","24.19","-1.27","-1.62","6,807,517"
"2024-02-06T08:00:00.000Z","24.47","24.77","24.45","24.60","1.69","1.34","7,352,898"
"2024-02-07T08:00:00.000Z","24.66","25.29","24.49","25.22","2.52","2.16","13,952,229"
"2024-02-08T08:00:00.000Z","25.75","26.08","25.64","26.03","3.21","2.85","18,568,455"
"2024-02-09T08:00:00.000Z","26.85","27.57","26.75","27.15","4.30","3.94","20,742,776"
"2024-02-12T08:00:00.000Z","27.53","28.86","27.52","28.66","5.56","5.20","35,138,572"
"2024-02-13T08:00:00.000Z","27.97","28.28","27.62","28.22","-1.54","-1.89","20,913,598"
"2024-02-14T08:00:00.000Z","29.58","29.82","29.24","29.55","4.71","4.35","28,134,453"
"2024-02-15T08:00:00.000Z","30.00","30.23","29.48","29.52","-0.1015","-0.4608","22,844,686"
"2024-02-16T08:00:00.000Z","29.86","29.97","29.49","29.62","0.3388","-0.0205","15,976,526"
"2024-02-20T08:00:00.000Z","29.88","29.92","28.97","29.67","0.1688","-0.1905","21,166,418"
"2024-02-21T08:00:00.000Z","29.05","29.35","28.91","29.08","-1.99","-2.35","17,767,555"
"2024-02-22T08:00:00.000Z","29.17","29.76","29.14","29.72","2.20","1.84","15,468,402"
"2024-02-23T08:00:00.000Z","29.26","29.31","28.91","29.16","-1.88","-2.24","13,285,822"
"2024-02-26T08:00:00.000Z","29.34","31.43","29.33","31.12","6.72","6.36","42,806,425"
"2024-02-27T08:00:00.000Z","32.53","32.96","32.17","32.59","4.72","4.36","42,006,445"
"2024-02-28T08:00:00.000Z","34.41","36.87","33.80","34.45","5.71","5.35","96,833,380"
"2024-02-29T08:00:00.000Z","36.20","36.38","34.47","35.42","2.82","2.46","53,837,492"
"2024-03-01T08:00:00.000Z","35.65","36.17","34.93","35.99","1.61","1.25","35,133,569"
"2024-03-04T08:00:00.000Z","37.42","38.89","37.40","38.65","7.39","7.03","63,439,014"
"2024-03-05T08:00:00.000Z","38.66","39.69","34.03","35.32","-8.62","-8.98","107,143,597"
"2024-03-06T08:00:00.000Z","38.16","38.59","37.30","38.29","8.41","8.05","45,934,345"
"2024-03-07T08:00:00.000Z","38.50","38.94","38.08","38.63","0.8880","0.5287","41,620,143"
"2024-03-08T08:00:00.000Z","38.94","40.20","37.77","39.55","2.38","2.02","89,933,979"
"2024-03-11T07:00:00.000Z","41.31","41.65","40.74","41.12","3.97","3.61","74,430,440"
"2024-03-12T07:00:00.000Z","41.28","41.80","39.21","40.73","-0.9484","-1.31","98,022,756"
"2024-03-13T07:00:00.000Z","41.52","41.99","40.93","41.95","3.00","2.64","59,347,008"
"2024-03-14T07:00:00.000Z","41.46","41.53","39.01","39.51","-5.82","-6.18","99,521,144"
"2024-03-15T07:00:00.000Z","38.69","40.32","38.44","39.39","-0.3037","-0.6630","68,768,285"
"2024-03-18T07:00:00.000Z","38.81","39.13","37.93","38.14","-3.17","-3.53","53,201,564"
"2024-03-19T07:00:00.000Z","36.35","37.53","35.49","36.70","-3.78","-4.13","69,685,175"
"2024-03-20T07:00:00.000Z","36.18","37.69","35.41","37.55","2.32","1.96","71,309,267"
"2024-03-21T07:00:00.000Z","38.60","38.61","37.00","37.15","-1.07","-1.42","47,085,932"
"2024-03-22T07:00:00.000Z","36.60","36.69","35.70","36.41","-1.99","-2.35","39,957,363"
"2024-03-25T07:00:00.000Z","38.20","40.62","38.20","40.55","11.37","11.01","64,562,024"
"2024-03-26T07:00:00.000Z","40.45","40.51","39.54","39.63","-2.27","-2.63","44,351,363"
"2024-03-27T07:00:00.000Z","40.91","40.97","39.02","39.13","-1.26","-1.62","46,746,940"
"2024-03-28T07:00:00.000Z","40.56","40.96","40.22","40.47","3.42","3.07","44,764,022"
"2024-04-01T07:00:00.000Z","39.99","40.03","38.84","39.75","-1.78","-2.14","34,651,970"
"2024-04-02T07:00:00.000Z","37.02","37.84","36.80","37.60","-5.41","-5.77","34,073,404"
"2024-04-03T07:00:00.000Z","37.50","38.20","37.37","37.54","-0.1596","-0.5188","29,387,388"
"2024-04-04T07:00:00.000Z","38.41","39.61","38.29","39.08","4.10","3.74","44,185,494"
"2024-04-05T07:00:00.000Z","38.16","39.16","38.11","38.41","-1.71","-2.07","28,670,518"
"2024-04-08T07:00:00.000Z","41.15","41.20","40.61","40.95","6.61","6.25","40,056,693"
"2024-04-09T07:00:00.000Z","40.29","40.50","38.90","39.33","-3.96","-4.32","35,513,699"
"2024-04-10T07:00:00.000Z","38.58","40.00","38.46","40.00","1.70","1.34","38,908,023"
"2024-04-11T07:00:00.000Z","40.35","40.45","39.66","40.17","0.4250","0.0657","27,725,536"
"2024-04-12T07:00:00.000Z","40.00","40.10","37.17","38.14","-5.05","-5.41","57,221,423"
"2024-04-15T07:00:00.000Z","37.78","37.95","35.54","36.08","-5.40","-5.76","46,360,334"
"2024-04-16T07:00:00.000Z","36.04","36.13","35.16","35.75","-0.9146","-1.27","35,341,655"
"2024-04-17T07:00:00.000Z","35.57","35.92","33.99","34.76","-2.77","-3.13","52,597,859"
"2024-04-18T07:00:00.000Z","35.58","36.61","35.28","36.21","4.17","3.81","35,544,174"
"2024-04-19T07:00:00.000Z","36.95","37.15","36.24","36.67","1.27","0.9111","34,806,727"
"2024-04-22T07:00:00.000Z","37.67","38.15","37.45","37.93","3.44","3.08","29,881,144"
"2024-04-23T07:00:00.000Z","37.71","38.31","37.69","37.90","-0.0791","-0.4384","17,572,330"
